Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,
KISMET Perfume A Wing & A Prayer Perfumesfor women,for women,2,1,"['green', 'aromatic', 'cinnamon', 'citrus', 'balsamic', 'warm spicy', 'bitter']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/KISMET-Perfume-37018.html
SAGITTARIUS Cologne A Wing & A Prayer Perfumesfor men,for men,N/A,N/A,"['citrus', 'woody', 'powdery', 'aromatic', 'musky', 'fresh spicy']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/SAGITTARIUS-Cologne-37012.html
Sarah A Wing & A Prayer Perfumesfor women,for women,N/A,N/A,"['vanilla', 'powdery', 'sweet']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Sarah-37020.html
Shalott Rose A Wing & A Prayer Perfumesfor women,for women,4,2,"['amber', 'rose', 'woody', 'citrus', 'powdery', 'floral', 'iris', 'aromatic', 'fresh spicy', 'vanilla']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Shalott-Rose-37014.html
Tallulah B A Wing & A Prayer Perfumesfor women,for women,N/A,N/A,"['warm spicy', 'rose', 'citrus', 'white floral', 'woody', 'floral', 'powdery', 'aromatic', 'musky', 'vanilla']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Tallulah-B-37021.html
ODR-211 Lucent A-chromiqfor women and men,for women and men,3.5,2,"['citrus', 'aromatic', 'woody', 'green', 'aldehydic', 'fresh spicy', 'fresh', 'warm spicy']",['Nathalie Feisthauer'],https://www.fragrantica.com/perfume/A-chromiq/ODR-211-Lucent-70316.html
ODR-212 Florescent A-chromiqfor women and men,for women and men,3.67,3,"['rose', 'fruity', 'aromatic', 'fresh spicy', 'powdery', 'sweet', 'warm spicy', 'woody', 'musky', 'herbal']",['Nathalie Feisthauer'],https://www.fragrantica.com/perfume/A-chromiq/ODR-212-Florescent-70317.html
ODR-213 Opaque A-chromiqfor women and men,for women and men,4,5,"['woody', 'leather', 'smoky', 'citrus', 'caramel', 'vanilla', 'fresh spicy', 'sweet']",['Nathalie Feisthauer'],https://www.fragrantica.com/perfume/A-chromiq/ODR-213-Opaque-70318.html
FL/18 A. N. OTHERfor women and men,for women and men,3.97,74,"['leather', 'musky', 'sweet', 'amber', 'aromatic', 'warm spicy', 'animalic', 'woody', 'caramel', 'powdery']",['Nathalie Benareau'],https://www.fragrantica.com/perfume/A-N-OTHER/FL-18-47797.html
FR/18 A. N. OTHERfor women and men,for women and men,4.12,105,"['aromatic', 'woody', 'citrus', 'fresh spicy', 'metallic', 'warm spicy', 'fresh', 'ozonic', 'aquatic', 'mineral']",['Carlos Viñals'],https://www.fragrantica.com/perfume/A-N-OTHER/FR-18-47796.html
OR/18 A. N. OTHERfor women and men,for women and men,4.14,141,"['sweet', 'vanilla', 'citrus', 'aromatic', 'cannabis', 'amber', 'soft spicy', 'anis', 'white floral', 'fruity']",['David Apel'],https://www.fragrantica.com/perfume/A-N-OTHER/OR-18-47798.html
SN/2020 A. N. OTHERfor women and men,for women and men,4.13,31,"['fruity', 'floral', 'marine', 'woody', 'sweet', 'powdery', 'musky', 'citrus', 'tuberose', 'white floral']",['Christine Hassan'],https://www.fragrantica.com/perfume/A-N-OTHER/SN-2020-71141.html
WD/18 A. N. OTHERfor women and men,for women and men,4.03,119,"['woody', 'aromatic', 'warm spicy', 'powdery', 'aquatic', 'fruity', 'iris']",['Patricia Bilodeau'],https://www.fragrantica.com/perfume/A-N-OTHER/WD-18-47799.html
WF/2020 A. N. OTHERfor women and men,for women and men,4.03,76,"['warm spicy', 'woody', 'rose', 'musky', 'floral', 'patchouli', 'leather', 'citrus', 'metallic', 'fresh spicy']",['Catherine Selig'],https://www.fragrantica.com/perfume/A-N-OTHER/WF-2020-61463.html
Bond. James Bond L'Homme A.B.R. Barlachfor men,for men,4.14,7,[],[],https://www.fragrantica.com/perfume/A-B-R-Barlach/Bond-James-Bond-L-Homme-13773.html
Bond. James Bond Le Parfum A.B.R. Barlachfor women,for women,3.71,14,"['floral', 'musky', 'vanilla', 'powdery', 'citrus', 'fresh', 'sweet']",[],https://www.fragrantica.com/perfume/A-B-R-Barlach/Bond-James-Bond-Le-Parfum-13774.html
Infidele A.P. Durand Parfumsfor women,for women,4.33,6,"['citrus', 'sweet', 'powdery', 'woody', 'rose', 'yellow floral', 'white floral', 'caramel', 'fresh', 'fruity']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/Infidele-27249.html
Magic Life A.P. Durand Parfumsfor women,for women,5,1,"['white floral', 'fruity', 'sweet', 'vanilla', 'coconut', 'tuberose', 'rose', 'citrus', 'animalic', 'powdery']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/Magic-Life-27240.html
Prestige Flower A.P. Durand Parfumsfor women,for women,4.17,6,"['fruity', 'sweet', 'yellow floral', 'violet', 'powdery', 'woody', 'citrus', 'fresh', 'floral']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/Prestige-Flower-27237.html
Prestige Honey A.P. Durand Parfumsfor women,for women,3.71,21,"['honey', 'floral', 'white floral', 'citrus', 'fruity', 'sweet', 'rose', 'musky', 'powdery', 'woody']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/Prestige-Honey-27236.html
Prestige Lady A.P. Durand Parfumsfor women,for women,4.5,4,"['white floral', 'sweet', 'honey', 'citrus', 'vanilla', 'fruity', 'patchouli', 'floral']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/Prestige-Lady-27241.html
Promis Jure A.P. Durand Parfumsfor women,for women,3.83,12,"['floral', 'green', 'white floral', 'citrus', 'fresh spicy', 'rose', 'fresh', 'aromatic']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/Promis-Jure-27234.html
Rupture A.P. Durand Parfumsfor men,for men,2,1,"['citrus', 'fresh spicy', 'warm spicy', 'powdery', 'green', 'woody', 'leather', 'musky', 'aromatic', 'amber']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/Rupture-27235.html
Rupture Women A.P. Durand Parfumsfor women,for women,4,2,"['sweet', 'fruity', 'rose', 'citrus', 'vanilla', 'musky', 'yellow floral', 'woody', 'patchouli', 'powdery']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/Rupture-Women-27251.html
What Else Men A.P. Durand Parfumsfor men,for men,4.11,19,"['citrus', 'aromatic', 'fresh spicy', 'woody', 'musky', 'powdery']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/What-Else-Men-27239.html
What Else Women A.P. Durand Parfumsfor women,for women,3.86,14,"['fruity', 'floral', 'citrus', 'rose', 'sweet', 'powdery', 'lactonic']",[],https://www.fragrantica.com/perfume/A-P-Durand-Parfums/What-Else-Women-27238.html
Bright Peach A'pieufor women,for women,3.44,16,"['sweet', 'powdery', 'fruity', 'citrus', 'vanilla', 'amber', 'musky', 'rose', 'fresh', 'woody']",[],https://www.fragrantica.com/perfume/A-pieu/Bright-Peach-70231.html
Charming Jasmine A'pieufor women,for women,3,1,"['citrus', 'white floral', 'fresh', 'floral', 'green', 'lavender']",[],https://www.fragrantica.com/perfume/A-pieu/Charming-Jasmine-70232.html
Chic Cashmere A'pieufor women,for women,3.5,2,"['fresh spicy', 'citrus', 'woody', 'warm spicy', 'green', 'aromatic', 'patchouli', 'white floral', 'floral']",[],https://www.fragrantica.com/perfume/A-pieu/Chic-Cashmere-70243.html
Cozy Wool A'pieufor women,for women,4,2,"['powdery', 'violet', 'floral', 'musky', 'woody', 'citrus', 'rose', 'fresh']",[],https://www.fragrantica.com/perfume/A-pieu/Cozy-Wool-70242.html
